id,nume,categorie,pret,clasa,consum_energetic,rating,nr_reviewuri,url_produs,imagine_url,Producator,Volum,Inaltime,Alb,Argintiu,O_usa,Doua_usi,Minibar
1,"Frigider cu doua usi Heinner HF-H2206SE++, 206 l, Clasa E, lumina LED, 3 rafturi de sticla, H 143 cm, Argintiu",Frigidere,1046.05,E,172,4.55,51,https://www.emag.ro/frigider-cu-doua-usi-heinner-206-l-clasa-e-lumina-led-3-rafturi-de-sticla-h-143-cm-argintiu-hf-h2206se/pd/DK1BTWMBM/,https://s13emagst.akamaized.net/products/56545/56544039/images/res_57c80432a2e28972f548e1e4322764b0.jpg?width=720&height=720&hash=8210D677A73015ACF7390A6EA0BCBAEA,Heinner,206,143,0,1,0,1,0
2,"Frigider cu doua usi Arctic AD54240M40W, 223 l, Clasa E, Garden Fresh, H 146,5 cm, Alb",Frigidere,1099.99,E,183,4.68,44,https://www.emag.ro/frigider-cu-doua-usi-arctic-223-l-clasa-e-garden-fresh-h-146-5-cm-alb-ad54240m40w/pd/D376NYYBM/,https://s13emagst.akamaized.net/products/59400/59399568/images/res_fcde257f74f175fa0a554f8e24b31647.jpg?width=720&height=720&hash=CCBD55309043B6BF0F7488E3C4267EEB,Arctic,223,146,1,0,0,1,0
3,"Frigider cu doua usi incoporabil Beko BDSA250K4SN, 220 l, Termostat reglabil, Clasa E, H 144.8 cm",Frigidere,1399.98,E,186,5,4,https://www.emag.ro/frigider-cu-doua-usi-incoporabil-beko-220-l-termostat-reglabil-clasa-e-h-144-8-cm-bdsa250k4sn/pd/DX0H3DYBM/,https://s13emagst.akamaized.net/products/62900/62899695/images/res_1c0b083053d101a0d0ed6c59d8a64df5.jpg?width=720&height=720&hash=5ECCD6A4400F5847F9CB43E3C3FBA6AD,Beko,220,144,0,0,0,1,0
4,"Frigider cu doua usi Heinner HF-H2206XE++, 206 l, Clasa E, lumina LED, 3 rafturi de sticla, H 143 cm, Inox",Frigidere,1048.2,E,172,4.55,51,https://www.emag.ro/frigider-cu-doua-usi-heinner-206-l-clasa-e-lumina-led-3-rafturi-de-sticla-h-143-cm-inox-hf-h2206xe/pd/D01BTWMBM/,https://s13emagst.akamaized.net/products/56545/56544041/images/res_e5da9b3daecf43868ebd009b54e828e0.jpg?width=720&height=720&hash=348BBA50FE3489B10597643427A6E057,Heinner,206,143,0,1,0,1,0
5,"Frigider cu doua usi Beko RDSA310M40SN, 306 l, Clasa E, Cooling Fan, Safety Glass, H 175 cm, Argintiu",Frigidere,1599.98,E,208,4.25,8,https://www.emag.ro/frigider-cu-doua-usi-beko-306-l-clasa-e-cooling-fan-safety-glass-h-175-cm-argintiu-rdsa310m40sn/pd/DZ0H3DYBM/,https://s13emagst.akamaized.net/products/62900/62899704/images/res_7c4abc418e9346d769a75e1fc5ebfdf7.jpg?width=720&height=720&hash=2797BF33FFF9FDC64A6598C38AC2C32F,Beko,306,175,0,1,0,1,0
6,"Frigider cu doua usi Arctic AD54280M40S, 250 l, Clasa E, Garden Fresh, Iluminare LED, H 160.6 cm, Argintiu",Frigidere,1299.99,E,183,4.2,10,https://www.emag.ro/frigider-cu-doua-usi-arctic-250-l-clasa-e-garden-fresh-iluminare-led-h-160-6-cm-argintiu-ad54280m40s/pd/D37W17YBM/,https://s13emagst.akamaized.net/products/62591/62590088/images/res_d9dbb56ba81c17bc996da7f87b2e4c55.jpg?width=720&height=720&hash=7053AE1361007C6A96C3B49E8A5291B2,Arctic,250,160,0,1,0,1,0
7,"Frigider cu o usa Arctic AR60290M40W, 286 l, Garden Fresh, Mix Zone, XXL Bolttle, Clasa E, H 150.8 cm, Alb",Frigidere,1249.99,E,109,4.8,10,https://www.emag.ro/frigider-cu-o-usa-arctic-286-l-garden-fresh-mix-zone-xxl-bolttle-clasa-e-h-150-8-cm-alb-ar60290m40w/pd/D2KV8YYBM/,https://s13emagst.akamaized.net/products/59958/59957042/images/res_dd976e196e0f285ef5a659d536223161.png?width=720&height=720&hash=51B482E101CFC16E43086CFF389091F0,Arctic,286,150,1,0,1,0,0
8,"Frigider cu doua usi Heinner HF-H2206E++, 206 l, Clasa E, lumina LED, 3 rafturi de sticla, H 143 cm, Alb",Frigidere,994.21,E,172,4.79,33,https://www.emag.ro/frigider-cu-doua-usi-heinner-206-l-clasa-e-lumina-led-3-rafturi-de-sticla-h-143-cm-alb-hf-h2206e/pd/DT1BTWMBM/,https://s13emagst.akamaized.net/products/56545/56544038/images/res_0f8629b73dcbed441628a33a6767bd20.jpg?width=720&height=720&hash=3E85A2B6EDE5A9420CC99AFE9AE92199,Heinner,206,143,1,0,0,1,0
9,"Frigider incorporabila Beko BSSA315E4FN, 309 l, Clasa D, HarvestFresh, Door open buzzer,Dairy, Display touch control, H 177.5 cm",Frigidere,2299.89,D,114,5,1,https://www.emag.ro/frigider-incorporabila-beko-309-l-clasa-d-harvestfresh-door-open-buzzer-dairy-display-touch-control-h-177-5-cm-bssa315e4fn/pd/DNTR5HYBM/,https://s13emagst.akamaized.net/products/68216/68215850/images/res_92e5dc928103af71d23bb0894467a490.jpg?width=720&height=720&hash=84CB0BFF0072E3EE23C9ECCB5FC65739,Beko,309,177,0,0,0,0,0
10,"Frigider cu doua usi Heinner HF-V242E++, 242 l, Less Frost, Clasa E, Control mecanic, Iluminare LED, H 160 cm, Alb",Frigidere,1120.33,E,178,5,4,https://www.emag.ro/frigider-cu-doua-usi-heinner-242-l-less-frost-clasa-e-control-mecanic-iluminare-led-h-160-cm-alb-hf-v242e/pd/DLV3KPYBM/,https://s13emagst.akamaized.net/products/68583/68582344/images/res_46ebb777edff56046d2d5059142e9698.jpg?width=720&height=720&hash=E19636D8A3355602194BF9DCEAD312A4,Heinner,242,160,1,0,0,1,0
