"Product_Index","Original_Price","Random Forest_Predicted","Random Forest_AbsoluteError","Random Forest_PercentError","SVM_Predicted","SVM_AbsoluteError","SVM_PercentError"
1,1046.05,1079.99,33.94,3.24,1258.77,212.72,20.34
2,1099.99,1294.54,194.55,17.69,1176.7,76.71,6.97
3,1399.98,1572.67,172.69,12.34,1614.48,214.5,15.32
4,1048.2,1079.99,31.79,3.03,1258.77,210.57,20.09
5,1599.98,1665.22,65.24,4.08,2195.29,595.31,37.21
6,1299.99,1658.89,358.9,27.61,1643.33,343.34,26.41
7,1249.99,2793.31,1543.32,123.47,2799.85,1549.86,123.99
8,994.21,1081.41,87.2,8.77,1058.73,64.52,6.49
9,2299.89,3445.53,1145.64,49.81,4324.83,2024.94,88.05
10,1120.33,1295.29,174.96,15.62,1336.27,215.94,19.27
11,1499.99,1686.32,186.33,12.42,2028.9,528.91,35.26
12,649,695.44,46.44,7.16,781.57,132.57,20.43
13,1085.93,1079.99,5.94,0.55,1258.77,172.84,15.92
14,1499.9,1665.22,165.32,11.02,2195.29,695.39,46.36
15,779,748.76,30.24,3.88,828.77,49.77,6.39
16,523.34,626.23,102.89,19.66,793.57,270.23,51.64
17,1279.99,1521.38,241.39,18.86,1437.01,157.02,12.27
18,3220.08,3482.29,262.21,8.14,3571.03,350.95,10.9
19,2679.9,2925.5,245.6,9.16,2939.07,259.17,9.67
20,998.9,1063.39,64.49,6.46,1069.93,71.03,7.11
21,4399.89,4639.23,239.34,5.44,4671.36,271.47,6.17
22,830.99,1262.84,431.85,51.97,1113.63,282.64,34.01
23,2349.98,2352.1,2.12,0.09,2311.71,38.27,1.63
24,1039.86,1203.96,164.1,15.78,1515.19,475.33,45.71
25,3170.14,3372.7,202.56,6.39,3358.8,188.66,5.95
26,3789.89,3911.8,121.91,3.22,4006.11,216.22,5.71
27,799.99,762.65,37.34,4.67,852.08,52.09,6.51
28,690.2,740.43,50.23,7.28,822.05,131.85,19.1
29,689.01,724.07,35.06,5.09,855.13,166.12,24.11
30,4559.99,4639.23,79.24,1.74,4671.36,111.37,2.44
31,3799.9,4086.19,286.29,7.53,4047.1,247.2,6.51
32,3299.9,3284.88,15.02,0.46,3099.07,200.83,6.09
33,1362.68,1322.91,39.77,2.92,1536.69,174.01,12.77
34,1999.99,2699.09,699.1,34.96,2689.8,689.81,34.49
35,2961.07,3287.92,326.85,11.04,2936.93,24.14,0.82
36,762.52,715.58,46.94,6.16,825.22,62.7,8.22
37,2820.72,2886.48,65.76,2.33,2633.66,187.06,6.63
38,3499.98,3502.47,2.49,0.07,3594.82,94.84,2.71
39,1599.9,1665.22,65.32,4.08,2195.29,595.39,37.21
40,3549.98,3486.28,63.7,1.79,3569.88,19.9,0.56
41,1074.96,1088.69,13.73,1.28,1064.7,10.26,0.95
42,709,707.65,1.35,0.19,816.7,107.7,15.19
43,1004.93,1269.48,264.55,26.33,1424.5,419.57,41.75
